url.txt,,,,,,,
threads,1,2,4,8,16,32,64
,36187,10051,6865,2607,1454,909,5803
,20180,10567,5051,2682,1399,902,5654
,20131,10565,5081,2606,1391,928,6017
,20118,10079,5044,2592,1562,918,5658
,20064,13013,5060,2599,1387,895,5761
ave,23336,10855,5420.2,2617.2,1438.6,910.4,5778.6
stdev,"7,184.05","1,232.13",807.79,36.72,74.10,13.01,148.16
,,,,,,,
scrapy,,,,,,,
,9320,,,,,,
,7799,,,,,,
,7325,,,,,,
,7888,,,,,,
,8904,,,,,,
ave,8247.2,,,,,,
stdev,831.06,,,,,,
